Tree,Elevation,Length,seg_num,branch_num
15,540,19,5,3
15,540,11,4,3
15,540,9,3,3
15,540,21,2,3
15,540,13,1,3
15,540,30,5,4
15,540,15,4,4
15,540,21,3,4
15,540,18,2,4
15,540,25,1,4
15,540,12,5,5
15,540,6,4,5
15,540,8,3,5
15,540,7,2,5
15,540,11,1,5
15,540,20,5,6
15,540,13,4,6
15,540,3,3,6
15,540,12,2,6
15,540,14,1,6
15,540,14,5,7
15,540,22,4,7
15,540,21,3,7
15,540,5,2,7
15,540,9,1,7
15,540,15,5,8
15,540,10,4,8
15,540,13,3,8
15,540,11,2,8
15,540,6,1,8
15,540,11,5,9
15,540,12,4,9
15,540,16,3,9
15,540,13,2,9
15,540,12,1,9
15,540,30,5,10
15,540,13,4,10
15,540,13,3,10
15,540,20,2,10
15,540,24,1,10
16,538,18,5,1
16,538,18,4,1
16,538,19,3,1
16,538,13,2,1
16,538,12,1,1
16,538,20,5,2
16,538,23,4,2
16,538,11,3,2
16,538,17,2,2
16,538,13,1,2
16,538,17,5,3
16,538,11,4,3
16,538,15,3,3
16,538,20,2,3
16,538,10,1,3
16,538,17,5,4
16,538,20,4,4
16,538,9,3,4
16,538,14,2,4
16,538,12,1,4
16,538,17,5,5
16,538,11,4,5
16,538,15,3,5
16,538,11,2,5
16,538,6,1,5
16,538,8,5,6
16,538,11,4,6
16,538,10,3,6
16,538,11,2,6
16,538,12,1,6
16,538,12,5,7
16,538,20,4,7
16,538,12,3,7
16,538,17,2,7
16,538,14,1,7
16,538,18,5,8
16,538,10,4,8
16,538,3,3,8
16,538,18,2,8
16,538,6,1,8
16,538,15,5,9
16,538,9,4,9
16,538,11,3,9
16,538,12,2,9
16,538,6,1,9
16,538,19,5,10
16,538,18,4,10
16,538,15,3,10
16,538,9,2,10
16,538,17,1,10
17,537,9,5,1
17,537,30,4,1
17,537,30,3,1
17,537,2,2,1
17,537,17,1,1
17,537,30,5,2
17,537,19,4,2
17,537,17,3,2
17,537,20,2,2
17,537,18,1,2
17,537,29,5,3
17,537,19,4,3
17,537,9,3,3
17,537,17,2,3
17,537,20,1,3
17,537,21,5,4
17,537,24,4,4
17,537,16,3,4
17,537,14,2,4
17,537,21,1,4
17,537,21,5,5
17,537,28,4,5
17,537,19,3,5
17,537,15,2,5
17,537,14,1,5
17,537,21,5,6
17,537,21,4,6
17,537,36,3,6
17,537,20,2,6
17,537,4,1,6
17,537,2,5,7
17,537,18,4,7
17,537,30,3,7
17,537,14,2,7
17,537,26,1,7
17,537,21,5,8
17,537,14,4,8
17,537,13,3,8
17,537,14,2,8
17,537,15,1,8
17,537,12,5,9
17,537,29,4,9
17,537,8,3,9
17,537,18,2,9
17,537,21,1,9
17,537,26,5,10
17,537,12,4,10
17,537,22,3,10
17,537,10,2,10
17,537,9,1,10
18,536,12,5,1
18,536,5,4,1
18,536,14,3,1
18,536,13,2,1
18,536,3,1,1
18,536,17,5,2
18,536,8,4,2
18,536,16,3,2
18,536,10,2,2
18,536,5,1,2
18,536,17,5,3
18,536,19,4,3
18,536,18,3,3
18,536,18,2,3
18,536,13,1,3
18,536,17,5,4
18,536,9,4,4
18,536,15,3,4
18,536,8,2,4
18,536,11,1,4
18,536,21,5,5
18,536,20,4,5
18,536,24,3,5
18,536,10,2,5
18,536,10,1,5
18,536,14,5,6
18,536,14,4,6
18,536,17,3,6
18,536,21,2,6
18,536,17,1,6
18,536,11,5,7
18,536,8,4,7
18,536,18,3,7
18,536,8,2,7
18,536,7,1,7
18,536,21,5,8
18,536,3,4,8
18,536,14,3,8
18,536,9,2,8
18,536,15,1,8
18,536,20,5,9
18,536,19,4,9
18,536,23,3,9
18,536,20,2,9
18,536,8,1,9
18,536,23,5,10
18,536,12,4,10
18,536,21,3,10
18,536,25,2,10
18,536,5,1,10
19,533,12,5,1
19,533,24,4,1
19,533,20,3,1
19,533,6,2,1
19,533,20,1,1
19,533,35,5,2
19,533,20,4,2
19,533,22,3,2
19,533,18,2,2
19,533,12,1,2
19,533,29,5,3
19,533,20,4,3
19,533,5,3,3
19,533,20,2,3
19,533,25,1,3
19,533,20,5,4
19,533,17,4,4
19,533,13,3,4
19,533,15,2,4
19,533,13,1,4
19,533,20,5,5
